# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
Bin207.fa	taxid assigned	based on 3210/3256 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.98;0.98;0.92;0.92	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2070.fa	taxid assigned	based on 2353/2380 ORFs	1;131567;2;1224;28216;80840;995019;40544	1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.99	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	no support
Bin2071.fa	taxid assigned	based on 3731/3796 ORFs	1;131567;2;1783270;68336;976;200643;171549;1853231;574697	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.93;0.40	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	no support
Bin2072.fa	taxid assigned	based on 4939/4996 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;0.99;0.99;0.94;0.91;0.73;0.73	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2073.fa	taxid assigned	based on 2651/2685 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;0.98;0.98;0.93;0.93;0.91;0.91	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2074.fa	taxid assigned	based on 2107/2153 ORFs	1;131567;2;1783272;1239;186801;186802;31979;1485	1.00;1.00;1.00;0.99;0.99;0.97;0.97;0.89;0.89	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no support
Bin2075.fa	taxid assigned	based on 2710/2796 ORFs	1;131567;2;1783272;1239;47928;1263003	1.00;1.00;1.00;0.88;0.88;0.51;0.51	Bacteria	Firmicutes	NA	NA	NA	NA	Firmicutes bacterium CAG:129
Bin2076.fa	taxid assigned	based on 4361/4391 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;0.98;0.98;0.74;0.74;0.74;0.72;0.72	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin2077.fa	taxid assigned	based on 2534/2548 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.88;0.88;0.88;0.88;0.88;0.87;0.86	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin2078.fa	taxid assigned	based on 3052/3116 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;0.99;0.98	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin2079.fa	taxid assigned	based on 3717/3740 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.80;0.80;0.80;0.80;0.80	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin208.fa	taxid assigned	based on 1631/1651 ORFs	1;131567;2;1783272;1239;91061;186826;1300;1301	1.00;0.96;0.96;0.76;0.73;0.71;0.57;0.56;0.56	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	no support
Bin2080.fa	taxid assigned	based on 2346/2397 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759;2585118	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97;0.96;0.96;0.85	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes communis
Bin2081.fa	taxid assigned	based on 2604/2629 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.93;0.93;0.93;0.93;0.93	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin2082.fa	taxid assigned	based on 1645/1657 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97;0.95;0.95	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin2083.fa	taxid assigned	based on 2856/2879 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.98;0.98;0.96;0.96;0.87;0.33	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	no support
Bin2084.fa	taxid assigned	based on 5097/5144 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.88;0.88;0.86;0.85	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2085.fa	taxid assigned	based on 4294/4338 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.95;0.94;0.86;0.86	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2086.fa	taxid assigned	based on 2857/2898 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.96;0.92;0.91	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin2087.fa	taxid assigned (1/2)	based on 2588/2655 ORFs	1;131567;2;1783272;1239;909932;1843489;31977;39948	1.00;1.00;1.00;0.65;0.65;0.65;0.64;0.64;0.64	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	no support
Bin2087.fa	taxid assigned (2/2)	based on 2588/2655 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.32;0.32;0.32;0.31;0.31	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin2088.fa	taxid assigned	based on 2396/2441 ORFs	1;131567;2;1224	1.00;1.00;1.00;0.80	Bacteria	Proteobacteria	no support	no support	no support	no support	no support
Bin2089.fa	taxid assigned	based on 2349/2405 ORFs	1;131567;2;1783272;1239;909932;1843488;909930;33024	1.00;1.00;1.00;0.82;0.82;0.78;0.77;0.77;0.77	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	no support
Bin209.fa	taxid assigned	based on 3463/3495 ORFs	1;131567;2;32066;203490;203491;203492;848	1.00;0.99;0.99;0.98;0.98;0.98;0.98;0.98	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	no support
Bin2090.fa	taxid assigned	based on 2806/2887 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;0.99;0.99;0.97;0.97;0.97;0.97	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2091.fa	taxid assigned	based on 2630/2678 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin2092.fa	taxid assigned	based on 2271/2294 ORFs	1;131567;2;1224;28216;80840;995019;40544	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	no support
Bin2093.fa	taxid assigned	based on 2568/2608 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.98;0.97;0.93;0.93	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2094.fa	taxid assigned	based on 4788/4932 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.98;0.98;0.96;0.96	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2095.fa	taxid assigned	based on 2040/2121 ORFs	1;131567;2;1783272;1239;186801;186802;541000;2305133;1898205	1.00;0.99;0.99;0.95;0.95;0.86;0.84;0.48;0.46;0.46	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	Ruminococcaceae bacterium
Bin2096.fa	taxid assigned	based on 1435/1488 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;0.88;0.88;0.88;0.88;0.88;0.66;0.66	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	no support
Bin2097.fa	taxid assigned	based on 3694/3761 ORFs	1;131567;2;1783270;68336;976;200643;171549;1853231;283168	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.98;0.87;0.85	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	no support
Bin2098.fa	taxid assigned	based on 3328/3355 ORFs	1;131567;2	1.00;0.90;0.73	Bacteria	no support	no support	no support	no support	no support	no support
Bin2099.fa	taxid assigned	based on 2332/2361 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97;0.96;0.94	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin21.fa	taxid assigned	based on 2086/2213 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.97;0.96;0.92;0.89	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin210.fa	taxid assigned	based on 2341/2375 ORFs	1;131567;2;1783272;1239;186801;186802;186803	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.96	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	no support	no support
Bin2100.fa	taxid assigned	based on 2054/2080 ORFs	1;131567;2;1783272;1239;186801;186802;31979;1485	1.00;1.00;1.00;0.99;0.99;0.97;0.97;0.92;0.92	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no support
Bin2101.fa	taxid assigned	based on 1658/1709 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.98;0.94;0.94	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	no support
Bin2102.fa	taxid assigned	based on 1885/1902 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.98;0.96;0.95	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin2103.fa	taxid assigned	based on 2669/2744 ORFs	1;131567;2;1783272;1239;186801;186802;216572	1.00;1.00;1.00;0.97;0.97;0.95;0.95;0.49	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	no support	no support
Bin2104.fa	taxid assigned	based on 3474/3492 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.80;0.80;0.80;0.80;0.80	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin2105.fa	taxid assigned	based on 3346/3377 ORFs	1;131567;2;1783270;68336;976;200643;171549;2005525;375288	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97;0.83;0.83	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	no support
Bin2106.fa	taxid assigned	based on 3087/3134 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;0.99;0.99;0.94;0.94;0.94;0.94;0.94	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin2107.fa	taxid assigned	based on 1186/1288 ORFs	1;131567;2;1783272;1239;186801;186802;31979;1485;59619;1262778	1.00;0.99;0.99;0.98;0.98;0.95;0.93;0.73;0.73;0.73;0.72	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:169
Bin2108.fa	taxid assigned (1/2)	based on 6996/7136 ORFs	1;131567;2;1224;28216;80840;995019;40544	1.00;0.99;0.99;0.44;0.44;0.44;0.44;0.44	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	no support
Bin2108.fa	taxid assigned (2/2)	based on 6996/7136 ORFs	1;131567;2;1783272;1239	1.00;0.99;0.99;0.45;0.43	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin2109.fa	taxid assigned	based on 1889/1920 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;0.99;0.99;0.98;0.95;0.95	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin211.fa	taxid assigned	based on 1797/1819 ORFs	1;131567;2;1783272;201174;1760;85004;31953;1678;28025	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.67	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
Bin2110.fa	taxid assigned	based on 3267/3347 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;838	1.00;1.00;1.00;0.97;0.97;0.97;0.97;0.97;0.91;0.91	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	no support
Bin2111.fa	taxid assigned	based on 2640/2703 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.99;0.99;0.96;0.96	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2112.fa	taxid assigned	based on 3063/3146 ORFs	1;131567;2;1783272;1239;186801;186802;541000	1.00;1.00;1.00;0.98;0.98;0.97;0.97;0.75	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	no support	no support
Bin2113.fa	taxid assigned	based on 2110/2179 ORFs	1;131567;2;1783272;1239;186801;186802;39779;1898207	1.00;1.00;1.00;0.99;0.98;0.95;0.95;0.89;0.89	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	Clostridiales bacterium
Bin2114.fa	taxid assigned	based on 2551/2593 ORFs	1;131567;2;1783272;1239;186801;186802;186806;1730;84372;1262889	1.00;1.00;1.00;0.96;0.96;0.94;0.94;0.89;0.89;0.89;0.88	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:38
Bin2115.fa	taxid assigned	based on 3928/3970 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.87;0.87;0.87;0.86	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2116.fa	taxid assigned	based on 2432/2510 ORFs	1;131567;2;1783272;1239;186801;186802;541000;2305133;1898205	1.00;1.00;1.00;0.96;0.96;0.91;0.90;0.64;0.61;0.61	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	Ruminococcaceae bacterium
Bin2117.fa	taxid assigned	based on 2516/2555 ORFs	1;131567;2;1783272;1239;186801;186802;541000	1.00;0.98;0.98;0.97;0.97;0.95;0.95;0.92	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	no support	no support
Bin2118.fa	taxid assigned	based on 1628/1657 ORFs	1;131567;2;1783272;1239;186801;186802;39779;1898207	1.00;1.00;1.00;0.99;0.98;0.47;0.46;0.43;0.43	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	Clostridiales bacterium
Bin2119.fa	taxid assigned	based on 1977/2046 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;0.99;0.99	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin212.fa	taxid assigned	based on 1122/1129 ORFs	1;131567;2;1783272;1239;91061;186826;33958;1578	1.00;1.00;1.00;0.87;0.87;0.87;0.86;0.82;0.81	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	no support
Bin2120.fa	taxid assigned	based on 3236/3300 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;0.99;0.99	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin2121.fa	taxid assigned	based on 3726/3779 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.99;0.99;0.96;0.96;0.89;0.87	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	no support
Bin2122.fa	taxid assigned	based on 1495/1560 ORFs	1;131567;2;1783272;1239;186801;186802;541000;1263	1.00;1.00;1.00;0.99;0.99;0.97;0.97;0.93;0.92	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	no support
Bin2123.fa	taxid assigned	based on 2906/3174 ORFs	1;131567;2;1783272;1239;186801;186802;541000;1263	1.00;0.99;0.99;0.98;0.98;0.97;0.97;0.94;0.94	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	no support
Bin2124.fa	taxid assigned	based on 1904/1952 ORFs	1;131567;2;1783272;1239;186801;186802;541000	1.00;1.00;1.00;0.99;0.98;0.97;0.97;0.90	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	no support	no support
Bin2125.fa	taxid assigned	based on 3880/3970 ORFs	1;131567;2;1783272;1239;186801;186802;31979;1485	1.00;1.00;1.00;0.99;0.99;0.98;0.98;0.89;0.88	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no support
Bin2126.fa	taxid assigned	based on 2517/2567 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.99;0.99;0.98;0.98	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2127.fa	taxid assigned	based on 2315/2602 ORFs	1;131567;2;1783272;1239;186801;186802;39779;1898207	1.00;0.99;0.99;0.90;0.88;0.80;0.77;0.56;0.55	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	Clostridiales bacterium
Bin2128.fa	taxid assigned	based on 2272/2314 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.80;0.79;0.78;0.78	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2129.fa	taxid assigned	based on 4475/4479 ORFs	1;131567;2	1.00;0.91;0.77	Bacteria	no support	no support	no support	no support	no support	no support
Bin213.fa	taxid assigned	based on 2671/2708 ORFs	1;131567;2;1783272;1239;186801;186802;31979;1485;2614128	1.00;0.98;0.98;0.97;0.97;0.95;0.95;0.85;0.85;0.83	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no support
Bin2130.fa	taxid assigned	based on 2698/2732 ORFs	1;131567;2;1783272;1239;186801;186802;186803;2316020;46228	1.00;1.00;1.00;0.98;0.98;0.95;0.95;0.75;0.71;0.71	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] lactaris
Bin2131.fa	taxid assigned	based on 2530/2612 ORFs	1;131567;2;1783272;1239;186801;186802;216572	1.00;1.00;1.00;0.98;0.98;0.94;0.94;0.50	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	no support	no support
Bin2132.fa	taxid assigned	based on 2181/2206 ORFs	1;131567;2;1783272;201174;1760;85004;31953;1678	1.00;1.00;1.00;0.93;0.90;0.89;0.89;0.85;0.85	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	no support
Bin2133.fa	taxid assigned	based on 2140/2220 ORFs	1;131567;2;1224;28216;80840;995019;40544	1.00;1.00;1.00;0.99;0.98;0.98;0.98;0.98	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	no support
Bin2134.fa	taxid assigned	based on 2434/2494 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.99;0.99;0.96;0.95	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2135.fa	taxid assigned	based on 2203/2283 ORFs	1;131567;2;1783272;1239;909932;1843488;909930;33024;626940	1.00;1.00;1.00;0.99;0.99;0.97;0.96;0.96;0.95;0.95	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens
Bin2136.fa	taxid assigned	based on 3864/3893 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.78;0.78;0.78;0.78;0.78	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin2137.fa	taxid assigned	based on 2832/2892 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.96;0.96;0.96;0.95	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2138.fa	taxid assigned	based on 2801/2952 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759;538948;1262695	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.98;0.85;0.56;0.55;0.40	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. CAG:435
Bin2139.fa	taxid assigned	based on 2813/2873 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759;2585118	1.00;1.00;1.00;0.94;0.94;0.94;0.94;0.94;0.91;0.90;0.70	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes communis
Bin214.fa	taxid assigned	based on 4534/4579 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;0.98;0.98;0.69;0.69;0.69;0.67;0.67	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin2140.fa	taxid assigned	based on 2761/2809 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.93;0.93;0.93;0.93;0.93	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin2141.fa	taxid assigned	based on 1810/1861 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;0.99;0.99	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin2142.fa	taxid assigned	based on 2189/2208 ORFs	1;131567;2;1783257;74201;203494;48461;1647988;239934	1.00;1.00;1.00;0.82;0.82;0.82;0.82;0.82;0.82	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	no support
Bin2143.fa	taxid assigned	based on 2392/2417 ORFs	1;131567;2;1783272;1239;186801;186802;541000	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.97	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	no support	no support
Bin2144.fa	taxid assigned	based on 2760/2798 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.99;0.99;0.98;0.98;0.89;0.33	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	no support
Bin2145.fa	taxid assigned	based on 3710/3820 ORFs	1;131567;2;1224;68525;28221;213115;194924;35832	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.96	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	no support
Bin2146.fa	taxid assigned	based on 2231/2298 ORFs	1;131567;2;1783272;1239;186801;186802;186806;1730;39496	1.00;1.00;1.00;0.99;0.98;0.97;0.97;0.94;0.94;0.86	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium ventriosum
Bin2147.fa	taxid assigned	based on 2666/2700 ORFs	1;131567;2;1783272;1239;186801;186802;186803	1.00;1.00;1.00;0.99;0.99;0.97;0.97;0.94	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	no support	no support
Bin2148.fa	taxid assigned	based on 3304/3324 ORFs	1;131567;2;1783270;68336;976;200643;171549;2005525;375288	1.00;1.00;1.00;0.96;0.96;0.96;0.96;0.96;0.79;0.79	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	no support
Bin2149.fa	taxid assigned	based on 2400/2427 ORFs	1;131567;2;1783272;1239;186801;186802;216572	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.77	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	no support	no support
Bin215.fa	taxid assigned	based on 4381/4452 ORFs	1;131567;2;1783272;1239;186801;186802;31979;1485	1.00;1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no support
Bin2150.fa	taxid assigned	based on 2610/2657 ORFs	1;131567;2;1783272;1239;186801;186802;186803;841	1.00;1.00;1.00;0.99;0.99;0.95;0.95;0.88;0.86	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	no support
Bin2151.fa	taxid assigned	based on 1931/1948 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.98;0.98;0.95;0.95	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2152.fa	taxid assigned	based on 3458/3509 ORFs	1;131567;2;1783270;68336;976;200643;171549;1853231;283168	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.94;0.92	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	no support
Bin2153.fa	taxid assigned	based on 2763/2824 ORFs	1;131567;2;1783270;68336;976;200643;171549;171552;577309	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.98;0.91;0.91	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	no support
Bin2154.fa	taxid assigned	based on 1673/1694 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.99;0.99;0.53;0.53	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2155.fa	taxid assigned	based on 2277/2284 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.89;0.89;0.89;0.89;0.89;0.89;0.88	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin2156.fa	taxid assigned	based on 3819/3918 ORFs	1;131567;2;1783270;68336;976;200643;171549;1853231	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.90	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	no support	no support
Bin2157.fa	taxid assigned	based on 2091/2112 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;0.98;0.98;0.98;0.98;0.98;0.97;0.95	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	no support
Bin2158.fa	taxid assigned	based on 2009/2051 ORFs	1;131567;2	1.00;1.00;1.00	Bacteria	no support	no support	no support	no support	no support	no support
Bin2159.fa	taxid assigned	based on 2208/2236 ORFs	1;131567;2;1783272;1239;186801;186802;31979;1485	1.00;1.00;1.00;0.99;0.98;0.97;0.97;0.90;0.90	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	no support
Bin216.fa	taxid assigned	based on 3858/3887 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;0.90;0.90;0.88;0.88	Bacteria	Firmicutes	Clostridia	Clostridiales	no support	no support	no support
Bin2160.fa	taxid assigned	based on 2738/2766 ORFs	1;131567;2;1783272;1239;186801;186802;186803	1.00;1.00;1.00;0.98;0.98;0.95;0.95;0.89	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	no support	no support
Bin2161.fa	taxid assigned	based on 1243/1246 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.75;0.75;0.75;0.71;0.71	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	no support	no support	no support
Bin2162.fa	taxid assigned	based on 2552/2577 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;0.99;0.99	Bacteria	Firmicutes	no support	no support	no support	no support	no support
Bin2163.fa	taxid assigned	based on 2151/2189 ORFs	1;131567;2;1783272;1239;526524;526525;128827;135858	1.00;1.00;1.00;0.99;0.99;0.45;0.45;0.45;0.44	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium	no support
